Data_Transacao,Descricao,Valor_Recebido
08/05/2026,PIX RECEBIDO CLIENTE 0,100.0
08/05/2026,PIX RECEBIDO CLIENTE 1,101.0
08/05/2026,PIX RECEBIDO CLIENTE 2,102.0
08/05/2026,PIX RECEBIDO CLIENTE 3,103.0
08/05/2026,PIX RECEBIDO CLIENTE 4,104.0
08/05/2026,PIX RECEBIDO CLIENTE 5,105.0
08/05/2026,PIX RECEBIDO CLIENTE 6,106.0
08/05/2026,PIX RECEBIDO CLIENTE 7,107.0
08/05/2026,PIX RECEBIDO CLIENTE 8,108.0
08/05/2026,PIX RECEBIDO CLIENTE 9,109.0
08/05/2026,PIX RECEBIDO CLIENTE 10,110.0
08/05/2026,PIX RECEBIDO CLIENTE 11,111.0
08/05/2026,PIX RECEBIDO CLIENTE 12,112.0
08/05/2026,PIX RECEBIDO CLIENTE 13,113.0
08/05/2026,PIX RECEBIDO CLIENTE 14,114.0
08/05/2026,PIX RECEBIDO CLIENTE 15,95.0
08/05/2026,PIX RECEBIDO CLIENTE 16,116.0
08/05/2026,PIX RECEBIDO CLIENTE 17,117.0
08/05/2026,PIX RECEBIDO CLIENTE 18,118.0
08/05/2026,PIX RECEBIDO CLIENTE 19,119.0
08/05/2026,PIX RECEBIDO CLIENTE 20,120.0
08/05/2026,PIX RECEBIDO CLIENTE 21,121.0
08/05/2026,PIX RECEBIDO CLIENTE 22,122.0
08/05/2026,PIX RECEBIDO CLIENTE 23,123.0
08/05/2026,PIX RECEBIDO CLIENTE 24,124.0
08/05/2026,PIX RECEBIDO CLIENTE 25,125.0
08/05/2026,PIX RECEBIDO CLIENTE 26,126.0
08/05/2026,PIX RECEBIDO CLIENTE 27,127.0
08/05/2026,PIX RECEBIDO CLIENTE 28,128.0
08/05/2026,PIX RECEBIDO CLIENTE 29,129.0
08/05/2026,PIX RECEBIDO CLIENTE 30,130.0
08/05/2026,PIX RECEBIDO CLIENTE 31,131.0
08/05/2026,PIX RECEBIDO CLIENTE 32,132.0
08/05/2026,PIX RECEBIDO CLIENTE 33,133.0
08/05/2026,PIX RECEBIDO CLIENTE 34,134.0
08/05/2026,PIX RECEBIDO CLIENTE 35,135.0
08/05/2026,PIX RECEBIDO CLIENTE 36,136.0
08/05/2026,PIX RECEBIDO CLIENTE 37,137.0
08/05/2026,PIX RECEBIDO CLIENTE 38,138.0
08/05/2026,PIX RECEBIDO CLIENTE 39,139.0
08/05/2026,PIX RECEBIDO CLIENTE 40,140.0
08/05/2026,PIX RECEBIDO CLIENTE 41,141.0
08/05/2026,PIX RECEBIDO CLIENTE 42,142.0
08/05/2026,PIX RECEBIDO CLIENTE 43,143.0
08/05/2026,PIX RECEBIDO CLIENTE 44,144.0
08/05/2026,PIX RECEBIDO CLIENTE 45,145.0
08/05/2026,PIX RECEBIDO CLIENTE 46,146.0
08/05/2026,PIX RECEBIDO CLIENTE 47,147.0
08/05/2026,PIX RECEBIDO CLIENTE 48,148.0
08/05/2026,PIX RECEBIDO CLIENTE 49,149.0
